ramp_issues; higher_level_reviews; ; n:m; A.review_id=B.id AND A.review_type='HigherLevelReview'; ramp_issues belongs to HigherLevelReview; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
record_synced_by_jobs; appeals; ; 1:1; A.record_id=B.id AND A.record_type='Appeal'; record_synced_by_jobs belongs to Appeal; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
record_synced_by_jobs; legacy_appeals; ; 1:1; A.record_id=B.id AND A.record_type='LegacyAppeal'; record_synced_by_jobs belongs to LegacyAppeal; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
request_issues_updates; appeals; ; 1:n; A.review_id=B.id AND A.review_type='Appeal'; request_issues_updates belongs to Appeal; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
request_issues_updates; supplemental_claims; ; 1:n; A.review_id=B.id AND A.review_type='SupplementalClaim'; request_issues_updates belongs to SupplementalClaim; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
request_issues_updates; higher_level_reviews; ; 1:n; A.review_id=B.id AND A.review_type='HigherLevelReview'; request_issues_updates belongs to HigherLevelReview; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
work_modes; appeals; ; 1:1; A.appeal_id=B.id AND A.appeal_type='Appeal'; work_modes belongs to Appeal; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
work_modes; legacy_appeals; ; 1:1; A.appeal_id=B.id AND A.appeal_type='LegacyAppeal'; work_modes belongs to LegacyAppeal; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
supplemental_claims; appeals; ; n:m; A.decision_review_remanded_id=B.id AND A.decision_review_remanded_type='Appeal'; supplemental_claims belongs to Appeal; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
supplemental_claims; supplemental_claims; ; n:m; A.decision_review_remanded_id=B.id AND A.decision_review_remanded_type='SupplementalClaim'; supplemental_claims belongs to SupplementalClaim; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
supplemental_claims; higher_level_reviews; ; n:m; A.decision_review_remanded_id=B.id AND A.decision_review_remanded_type='HigherLevelReview'; supplemental_claims belongs to HigherLevelReview; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
